HALE,Country,Year,Sex,Age Expectancy,Latitude,Longitude
Healthy life expectancy (HALE) at birth (years),Côte d’Ivoire,2019,Female,56.5,,
Healthy life expectancy (HALE) at birth (years),Ghana,2019,Male,56.5,8.0,-2.0
Healthy life expectancy (HALE) at birth (years),Solomon Islands,2019,Male,56.5,-8.0,159.0
Healthy life expectancy (HALE) at birth (years),Benin,2019,Female,56.6,9.5,2.25
Healthy life expectancy (HALE) at birth (years),Pakistan,2019,Female,56.8,30.0,70.0
Healthy life expectancy (HALE) at birth (years),Madagascar,2019,Male,56.9,-20.0,47.0
Healthy life expectancy (HALE) at birth (years),Pakistan,2019,Both sexes,56.9,30.0,70.0
Healthy life expectancy (HALE) at birth (years),Pakistan,2019,Male,56.9,30.0,70.0
Healthy life expectancy (HALE) at birth (years),Yemen,2019,Male,56.9,15.0,48.0
Healthy life expectancy (HALE) at birth (years),Gambia,2019,Both sexes,57.0,13.47,-16.57
Healthy life expectancy (HALE) at birth (years),Malawi,2019,Both sexes,57.1,-13.5,34.0
Healthy life expectancy (HALE) at birth (years),Mongolia,2019,Male,57.1,46.0,105.0
Healthy life expectancy (HALE) at birth (years),Papua New Guinea,2019,Both sexes,57.1,-6.0,147.0
Healthy life expectancy (HALE) at birth (years),Burundi,2019,Female,57.2,-3.5,30.0
Healthy life expectancy (HALE) at birth (years),Djibouti,2019,Male,57.2,11.5,43.0
Healthy life expectancy (HALE) at birth (years),Guyana,2019,Both sexes,57.2,5.0,-59.0
Healthy life expectancy (HALE) at birth (years),Madagascar,2019,Both sexes,57.3,-20.0,47.0
Healthy life expectancy (HALE) at birth (years),Yemen,2019,Both sexes,57.5,15.0,48.0
Healthy life expectancy (HALE) at birth (years),Gabon,2019,Both sexes,57.6,-1.0,11.75
Healthy life expectancy (HALE) at birth (years),United Republic of Tanzania,2019,Male,57.6,,
Healthy life expectancy (HALE) at birth (years),Eritrea,2019,Female,57.7,15.0,39.0
Healthy life expectancy (HALE) at birth (years),Gambia,2019,Female,57.7,13.47,-16.57
Healthy life expectancy (HALE) at birth (years),Kenya,2019,Both sexes,57.7,1.0,38.0
Healthy life expectancy (HALE) at birth (years),Madagascar,2019,Female,57.7,-20.0,47.0
Healthy life expectancy (HALE) at birth (years),South Africa,2019,Female,57.7,-29.0,24.0
Healthy life expectancy (HALE) at birth (years),Micronesia (Federated States of),2019,Female,57.8,,
Healthy life expectancy (HALE) at birth (years),Solomon Islands,2019,Both sexes,57.8,-8.0,159.0
Healthy life expectancy (HALE) at birth (years),Togo,2019,Female,57.8,8.0,1.17
Healthy life expectancy (HALE) at birth (years),Vanuatu,2019,Both sexes,57.8,-16.0,167.0
Healthy life expectancy (HALE) at birth (years),Djibouti,2019,Both sexes,58.0,11.5,43.0
Healthy life expectancy (HALE) at birth (years),Ghana,2019,Both sexes,58.0,8.0,-2.0
Healthy life expectancy (HALE) at birth (years),Papua New Guinea,2019,Female,58.1,-6.0,147.0
Healthy life expectancy (HALE) at birth (years),Uganda,2019,Both sexes,58.2,1.0,32.0
Healthy life expectancy (HALE) at birth (years),Yemen,2019,Female,58.2,15.0,48.0
Healthy life expectancy (HALE) at birth (years),Comoros,2019,Male,58.3,-12.17,44.25
